annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	233824	0.00932249780616856	176	0.0256260920209668	2.74884398513995	3.96831408203408e-31
UTR5	71546	0.00285251910856087	43	0.00626092020966803	2.19487406442887	3.80882281476026e-06
downstream	284177	0.0113300579027968	270	0.0393127548048923	3.46977527759924	7.91178792278537e-66
exonic	254736	0.0101562534263042	129	0.0187827606290041	1.84937888418161	1.72723170951362e-10
intergenic	11684523	0.465858680176655	3665	0.533634245777519	1.14548524796224	2.53194715495646e-29
intronic	9137749	0.364319509570527	1691	0.246214327315084	0.675819770413423	1.65052162123035e-97
ncRNA_exonic	259951	0.0103641740249561	142	0.0206755969714619	1.99491024771262	1.11562854588219e-13
ncRNA_intronic	2884355	0.114998431126451	503	0.0732382061735585	0.636862655048108	1.08504421486125e-30
ncRNA_splicing	1313	5.23489445886621e-05	0	0	0	1
splicing	2830	0.00011283131240359	3	0.000436808386721025	3.87134012195649	0.0438526024462284
upstream	266686	0.0106326966005879	246	0.0358182877111241	3.36869272740686	8.669835472417e-58
